name,dob,birth_place,position
João Ernesto dos Santos,1954-01-15,Moxico,Ministro da Defesa Nacional e Veteranos da Pátria
Eugênio César Laborinho,1955-01-10,Malanje,Ministro do Interior
Téte António,1955-01-22,Uíge,Ministro das Relações Exteriores
Vera Esperança dos Santos Daves de Sousa,1983-05-18,Luanda,Ministra das Finanças
Mário Augusto Caetano de Sousa,"","",Ministro da Economia e Planeamento
Marcy Cláudio Lopes,1981-12-06,Luanda,Ministro da Administração do Território
Francisco Manuel Monteiro de Queiroz,1951-06-07,Bié,Ministro da Justiça e dos Direitos Humanos
Teresa Rodrigues Dias,1965-02-04,Namibe,"Ministra da Administração Pública, Trabalho e Segurança Social"
António Francisco de Assis,1956-09-23,Benguela,Ministro da Agricultura e Pescas
Victor Francisco dos Santos Fernandes,1978-11-21,Bié,Ministro da Indústria e Comércio
Diamantino Pedro Azevedo,12 de Julho 1963,Cuanza Sul,"Ministro dos Recursos Minerais, Petróleo e Gás"
Manuel Tavares de Almeida,1957-04-11,Cuanza Norte,Ministro das Obras Públicas e Ordenamento do Território
João Baptista Borges,1964-01-04,Luanda,Ministro da Energia e Águas
Ricardo Daniel Sandão Queirós Veigas de Abreu,1969-09-10,Luanda,Ministro dos Transportes
Manuel Gomes da Conceição Homem,1979-11-24,Cabinda,"Ministro das Telecomunicações, Tecnologias de Informação e Comunicação Social"
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,1959-05-28,Benguela,"Ministra do Ensino Superior, Ciência, Tecnologia e Inovação"
Sílvia Paula Valentim Lutucuta,1968-07-14,Huambo,Ministra da Saúde
Luísa Maria Alves Grilo,08 de Julho 1953,Malanje,Ministra da Educação
Jomo Fortunato,1961-03-28,"","Ministro da Cultura, Turismo e Ambiente"
Faustina Fernandes Inglês de Almeida Alves,1956-06-09,Luanda,"Ministra da Acção Social, Família e Promoção da Mulher"
Ana Paula Sacramento Neto,1962-06-20,Cuanza Norte,Ministra da Juventude e Desportos
