item,itemLabel,position,positionLabel,start,end,psid
Q109984874,António Francisco de Assis,Q111945391,Minister of Agriculture and Forestry,2019-07-24,2020-01-17,Q109984874-2FEE19C7-88C1-4717-8FAB-659EBD3CA7FA
Q109984875,Ana Paula do Sacramento Neto,Q109984686,Minister of Youth and Sports,2017-09-27,,Q109984875-2FE767A3-3619-439F-A788-6B3AA553D900
Q111517202,Virgilio Ferreira Fontes Pereira,Q111945580,Minister of Urban Affairs and Environment,2002-12-05,2004-10-23,Q111517202-4ABEBC59-F022-4944-AFEB-E2AD7A3D0D80
Q111626730,Fiel Domingos Constantino,Q111945578,Minister of Trade,2016-03-07,2017-09-26,Q111626730-BEC8C6B5-E702-486A-8984-565BEBFB7EF6
Q111916352,Carlos Alberto Lopez,Q6866123,Minister of Finance,2010-02-01,2013-05-01,Q111916352-16064B10-E39A-4A0A-9EB5-18C5EF62D96E
Q111916354,Severim de Morais,Q6866123,Minister of Finance,2008-10-01,2010-02-01,Q111916354-9BDD62E5-8EAE-4223-BF4A-8200B85A18F9
Q111954166,Adao Francisco Correia de Almeida,Q111945576,Minister of Territory and State Reform,2017-09-26,2020-01-17,Q111954166-CA2B2232-6C47-4D58-86F4-95BA927E25E8
Q111954167,Adão do Nascimento,Q111945552,Minister of Higher Education,2012-09-26,2017-09-26,Q111954167-71F37D17-7324-4C7E-8963-2478E95BBD2A
Q111954168,Albertina Julia Hamukuya,Q108282421,Minister of Health,2000-01-28,2008-10-03,Q111954168-0D7CFCEA-A0A7-48A5-8671-6F42B9A0D07B
Q111954170,Ana Paula Elias,Q65081999,Minister of Education,2019-10-08,2020-01-17,Q111954170-50A91D5F-218E-416A-88F7-272803B5596B
Q111954367,Ana Paula de Carvalho,Q111945584,Minister of Urban Planning and Housing,2017-09-26,2020-01-17,Q111954367-D58B5538-624C-450D-8798-652A909A85DB
Q111954368,Angelo Barros da Veiga Tavares,Q54479352,Minister of the Interior,2012-09-26,2017-09-26,Q111954368-108B8ACF-1CBD-4664-805B-02A2D51668EB
Q111954368,Angelo Barros da Veiga Tavares,Q54479352,Minister of the Interior,2017-09-26,2019-07-24,Q111954368-F7AC2163-94A7-49C8-8D76-30841AA6F133
Q111954370,Anibal Joao da Silva Melo,Q111945575,Minister of Social Communications,2017-09-26,2020-01-17,Q111954370-1F7C4B2E-2F7C-4B0D-9456-6D131D81737A
Q111954371,Bernarda Goncalves da Silva,Q111945557,Minister of Industry,2017-09-26,2020-01-17,Q111954371-65922F6F-F7AF-4B80-92D1-0223DE318E93
Q111954371,Bernarda Goncalves da Silva,Q111945557,Minister of Industry,2012-09-26,2017-09-26,Q111954371-8BDD10C5-FD28-46DF-823A-5DC1593F90E5
Q111954373,Branca Manuel da Costa Neto do Espírito Santo,Q111945585,Minister of Urbanism and Housing,2016-03-07,2017-09-26,Q111954373-3B0F9033-BC24-4E2C-B584-C767DCB47C10
Q111954374,Cândido Pereira dos Santos Van-Duném,Q54416499,Minister of Defence,2010-02-06,2014-04-23,Q111954374-468863DA-40C9-4C1F-BB7A-B21DFF40FA1B
Q111954375,Desiderio da Graca Verissimo da Costa,Q54483257,Minister of Mineral Resources and Petroleum,2002-12-05,2008-10-03,Q111954375-E3A89FEB-12E5-4D83-B943-4D38FAA3EF4D
Q111954376,Diekumpuna Sita Jose,Q111945580,Minister of Urban Affairs and Environment,2004-10-23,2008-10-03,Q111954376-72090383-04AB-43EE-AA76-DAE95B9827B5
Q111954377,Emanuela Afonso Vieira Lopes,Q65082136,Minister of Energy and Water,2008-10-03,2012-09-26,Q111954377-999EE8EA-DD0B-4612-9898-B41AA2E170C8
Q111954378,Fernando Alberto de Lemos Soares da Fonseca,Q111945579,Minister of Urban Affairs and Construction,2010-11-20,2012-09-26,Q111954378-E5F049E8-75D5-4D16-8CFF-CC601AB2C048
Q111954380,Genoveva da Conceicao Lino,Q111945548,Minister of Family Issues and the Promotion of Women,2008-10-03,2012-09-26,Q111954380-F7277F54-5D08-45A1-AFD7-B368845759E3
Q111954381,Gilberto Buta Lutukuta,Q111945531,Minister of Agriculture and Rural Development,1999-01-29,2008-10-03,Q111954381-86F37F86-0BD1-49B1-9286-ACAD3348E300
Q111954382,Goncalves Manuel Muandumba,Q109984686,Minister of Youth and Sports,2008-10-03,2017-09-26,Q111954382-934D6863-F5EE-471D-91C9-CD238246FBD3
Q111954384,Jesus Faria Maiato,Q111945561,"Minister of Labour, Public Administration and Social Security",2017-09-26,2020-01-17,Q111954384-0E781EB3-A1AB-4D45-92D4-C618D02815DE
Q111954385,Joao Baptista Kussumua,Q111945533,Minister of Assistance and Social Reintegration,2002-04-02,2017-09-26,Q111954385-1B31B1BC-5DD9-4F1F-AB7C-C5007343C5CA
Q111954386,Joao Baptista Ngandagina,Q111945571,Minister of Science and Technology,1999-02-24,2008-10-03,Q111954386-053CD4D6-E901-465D-A9B8-F33071304342
Q111954387,Joaquim Ekuma Muafumua,Q111945578,Minister of Trade,2004-10-23,2008-10-03,Q111954387-4A314D26-6662-43F2-832C-DF2A5B6F8ED9
Q111954388,Joffre Van-Dunem Junior,Q111945578,Minister of Trade,2017-09-26,2020-01-17,Q111954388-98B165F7-AEF0-48F7-88E3-A799464C20A8
Q111954389,Jorge Alicerces Valentim,Q111945555,Minister of Hotel and Tourism,1997-04-09,2008-10-03,Q111954389-9814DA41-0A0F-4011-BBF4-012322B9347B
Q111954390,Jose Marcos Barrica,Q109984686,Minister of Youth and Sports,1999-01-29,2008-10-03,Q111954390-F6FD5C32-C7D7-4B83-95B4-FB3CCFED6174
Q111954392,Jose Maria Botelho de Vasconcelhos,Q54483257,Minister of Mineral Resources and Petroleum,1999-01-29,2002-12-05,Q111954392-8B689E02-59C1-4685-AC97-D4FC934A2880
Q111954393,José António da Conceição e Silva,Q111945585,Minister of Urbanism and Housing,2012-09-26,2016-03-07,Q111954393-3E43659D-5414-4EBD-810E-587CAA3FC5F1
Q111954395,José Luís de Matos,Q111945575,Minister of Social Communications,2012-09-26,2017-09-26,Q111954395-75CC4A0C-8C05-420E-A889-F07099D22A2F
Q111954396,José Vieira Dias Van-Duném,Q108282421,Minister of Health,2008-10-03,2016-03-07,Q111954396-B759230B-F663-4F73-8EA3-1A2337891F80
Q111954397,José de Carvalho da Rocha,Q109984669,Minister of Telecommunications and Information Technologies,2008-10-03,2017-09-26,Q111954397-9B46CF73-E2FF-47D7-BD87-C9B3EA26633B
Q111954397,José de Carvalho da Rocha,Q109984669,Minister of Telecommunications and Information Technologies,2017-09-26,2020-01-17,Q111954397-F4E00EBF-99D4-4269-A40B-5320E61B6497
Q111954399,José dos Santos da Silva Ferreira,Q111945583,Minister of Urban Affairs and Housing,2010-02-06,2010-11-20,Q111954399-EBCFDA73-D061-43BD-93F8-CD47B9D3D1C7
Q111954400,Licinio Tavares Ribeiro,Q111945569,Minister of Posts and Telecommunications,1997-04-09,2008-10-03,Q111954400-4658EE52-0080-44F0-9EA1-F3A61236E9F0
Q111954401,Luis Filipe da Silva,Q65082136,Minister of Energy and Water,1999-01-29,2002-12-05,Q111954401-653B5951-EDC7-4178-94DA-81A84BCABEF5
Q111954402,Mankenda Ambroise,Q111945551,Minister of Geology and Mines,2008-10-03,2010-02-06,Q111954402-E8EBFACB-21A1-4870-B85C-F13E5E0D2063
Q111954404,Manuel Antonio Africano,Q111945551,Minister of Geology and Mines,2000-01-28,2008-10-03,Q111954404-1CDED518-97AD-4CAB-B330-A29853E4B337
Q111954405,Manuel Antonoi Rabelais,Q111945575,Minister of Social Communications,2008-10-03,2010-02-06,Q111954405-BB0252B6-2B95-4E34-BCEC-DDB8BE52442E
Q111954407,Manuel Bunjo,Q111945551,Minister of Geology and Mines,1999-02-24,2000-01-28,Q111954407-8B4232D4-9C6F-463E-9763-98A3F0DA7285
Q111954408,Manuel Francisco Queirós,Q111945551,Minister of Geology and Mines,2012-09-26,2017-09-26,Q111954408-EF665DFF-2199-4CE1-BCF9-7E262F48AA80
Q111954409,Manuel Nunes Junior,Q111945546,Minister of Economy,2008-10-03,2010-09-27,Q111954409-5B754BB1-0FF1-4AC7-8221-FFD19DBDC199
Q111954409,Manuel Nunes Junior,Q111945544,Minister of Economic and Social Development,2017-09-26,2020-01-17,Q111954409-943337AB-1A7D-439D-B543-E8BA2CF3D791
Q111954410,Manuel da Costa Aragao,Q111945559,Minister of Justice,2004-12-17,2008-10-03,Q111954410-062D0574-FF58-44EB-9E36-81F5AF582FE3
Q111954411,Marcos Alexandre Nhunga,Q111945427,Minister of Agriculture,2016-08-28,2017-09-26,Q111954411-B58A1A52-5F08-4681-8CC8-2D7C0E296A0E
Q111954411,Marcos Alexandre Nhunga,Q111945391,Minister of Agriculture and Forestry,2017-09-26,2019-07-24,Q111954411-BD08B264-46A0-4637-9A38-011150EACEED
Q111954412,Maria de Cândida Pereira Teixeira,Q111945571,Minister of Science and Technology,2008-10-03,2012-09-26,Q111954412-23264E7D-E471-4F2B-A8B5-B72D5D92E288
Q111954412,Maria de Cândida Pereira Teixeira,Q65081999,Minister of Education,2017-09-26,2019-10-08,Q111954412-CDD62FCC-A978-436E-8D20-266EE5F75C1C
Q111954414,Maria Ângela Teixeira Braganda,Q111945555,Minister of Hotel and Tourism,2017-09-26,2020-01-17,Q111954414-C003D190-DA82-4D05-A10B-0FB4FABE7D63
Q111954415,Mpinda Simao,Q65081999,Minister of Education,2010-02-06,2017-09-26,Q111954415-B487AA31-6660-4361-AF3C-4D95FDF0109F
Q111954416,Paulino Domingos Baptista,Q111945555,Minister of Hotel and Tourism,2016-01-11,2017-09-26,Q111954416-00170ACE-B778-4FB4-B795-B3E7F1510E6E
Q111954417,Pedro Jose van Dunem,Q111945587,Minister of War Veterans,1997-04-09,2010-02-06,Q111954417-6543F76F-9729-43DF-BB3F-6BE9160464E0
Q111954419,Pedro Mutinde,Q111945555,Minister of Hotel and Tourism,2010-03-16,2016-01-11,Q111954419-952602B1-8C54-473C-BB2F-4EA93E24EA89
Q111954419,Pedro Mutinde,Q111945555,Minister of Hotel and Tourism,2008-10-03,2010-02-06,Q111954419-9C7F106C-D4FC-4C6A-AEFA-AD1B35A83F35
Q111954420,Rosa Luís de Sousa Micolo,Q111945564,Minister of Parliamentary Issues,2012-09-26,2017-09-26,Q111954420-715018EA-1F8B-4E46-A134-D61EDA0B0D65
Q111954421,Rosa Maria Martins da Cruz e Silva,Q65081943,Minister of Culture,2008-10-03,2016-03-07,Q111954421-62E6FF15-06E2-4D0C-AB33-B4C5817BBB91
Q111954423,Rosa Pedro Pacavira de Matos,Q111945578,Minister of Trade,2012-09-26,2016-03-07,Q111954423-3608F594-F09C-4266-80C8-63FDFF3782C1
Q111954424,Salviano de Jesus Sequeira,Q54416499,Minister of Defence,2017-09-26,2020-01-17,Q111954424-B91B39F0-0824-4AE0-BF17-56D8BB0B71FA
Q111954425,Sebastiao Antonio Martins,Q54479352,Minister of the Interior,2010-09-27,2012-09-26,Q111954425-A544578A-96E3-49A8-B1FD-4C04303AFCC8
Q111954426,Victoria Francisco Lopes de Barros Neto,Q111945550,Minister of Fishing,2012-09-26,2017-09-26,Q111954426-427ED261-EAD3-41EC-A8B9-FA694083A53C
Q111954426,Victoria Francisco Lopes de Barros Neto,Q111945550,Minister of Fishing,2017-09-26,2020-01-17,Q111954426-7753BD40-8BA6-43CE-ABD5-06F57FA8802F
Q111954487,Waldemar Pires Alexandre,Q111945541,Minister of Construction,2013-05-07,2017-09-26,Q111954487-6FAB59CE-BDD2-4E6A-9F16-C92F203B12C8
Q1457599,George Rebelo Chicoty,Q54417158,Minister of Foreign Affairs,2010-11-26,2017-09-28,Q1457599-0FED47C1-9F6E-476D-ACB8-C1521E0DA8ED
Q16190785,Armando Manuel,Q6866123,Minister of Finance,2013-05-09,2016-09-05,Q16190785-E214AB86-4DE9-4AF5-97F2-123E87D6DE0D
Q16336949,Bornito de Sousa Baltazar Diogo,Q65081666,Minister of Territorial Administration,2010-02-06,2017-09-26,Q16336949-614CA1B4-FF3F-4FE4-8E84-29748288F857
Q16336949,Bornito de Sousa,Q3382672,Vice President of Angola,2017-09-26,,Q16336949-cf2798d9-4291-8b6e-7c6f-5c4a470d9e16
Q17064757,Abraao Pio dos Santos Gourgel,Q111945546,Minister of Economy,2010-09-27,2017-09-26,Q17064757-8F7BCF5F-A91B-464D-9814-0BF5853D5017
Q23892775,Job Graça,Q111945566,Minister of Planning and Territorial Development,2012-09-26,2017-09-26,Q23892775-FFBEE651-8174-4E73-A061-2D89C0B553A9
Q23892778,Manuel Neto da Costa,Q65081971,Minister of Economy and Planning,2019-07-24,2020-01-17,Q23892778-6C6431F5-995D-4EAB-86ED-C94BF44BAE00
Q28650390,Joao Manuel Lorenco,Q54416499,Minister of Defence,2014-04-22,2017-09-26,Q28650390-6CC00B18-74D1-421A-85BA-ABFDD60CF73E
Q29876723,Guilhermina Contreiras da Costa Prata,Q111945559,Minister of Justice,2008-10-03,2012-09-26,Q29876723-97E75206-2219-43D6-AF12-D8EE6782473E
Q3069456,Fernando Faustino Muteka,Q65081666,Minister of Territorial Administration,1997-04-09,2004-10-23,Q3069456-FB7F7342-E9D1-4755-A252-0E074BB79E82
Q310815,Fernando da Piedade Dias dos Santos,Q20706562,Prime Minister of Angola,2002-12-06,2008-09-30,Q310815-1c21e354-49b6-f433-208e-f138c4f69cb1
Q310815,Fernando da Piedade,Q54479352,Minister of the Interior,1999-01-01,2002-01-01,Q310815-A0716597-871F-4784-AB8D-69803C1CD586
Q310815,Fernando da Piedade Dias dos Santos,Q3382672,Vice President of Angola,2010-02-18,2012-09-26,Q310815-F53648BA-1D09-44E2-A9F6-E51F5691BCEC
Q3186515,José Pedro de Morais,Q6866123,Minister of Finance,2002-12-01,2008-10-01,Q3186515-771A4D11-ABFA-4E0F-ADCC-F3BC08DDBC53
Q3187284,Joao Bernardo de Miranda,Q54417158,Minister of Foreign Affairs,1999-01-01,2008-10-01,Q3187284-876C5A6D-D71B-4509-9C64-078F764DF4EA
Q3268186,Luís Gomes Sambo,Q108282421,Minister of Health,2016-03-07,2017-09-26,Q3268186-FC0579AC-3672-4B18-909D-C099C0BEB792
Q373591,António Paulo Kassoma,Q20706562,Prime Minister,2008-09-30,2010-02-05,Q373591-2C152525-DB37-4014-BD15-816A1412B1BE
Q44812203,Maria Filomena Lobão Telo Delgado,Q111945548,Minister of Family Issues and the Promotion of Women,2012-09-26,2017-09-26,Q44812203-0B64CB10-49AD-4B3F-8C6E-1D7278378AB5
Q4689381,Afonso Pedro Canga,Q111945531,Minister of Agriculture and Rural Development,2008-10-03,2010-02-06,Q4689381-2A8ADABF-4A50-497F-A4BD-EB4972577DD5
Q4750344,Ana Dias Lourenco,Q111945565,Minister of Planning,1999-01-29,2012-09-26,Q4750344-36AA0067-8D43-4F69-87D3-3EB7AD0021BE
Q4777533,António Bento Bembe,Q111945556,Minister of Human Rights,2010-02-06,2012-09-26,Q4777533-88200F7F-3BB2-4862-992B-E5E784C09D91
Q4931550,Boaventura Cardoso,Q65081943,Minister of Culture,2002-12-05,2008-10-03,Q4931550-0C9BE2CD-4D8B-4AAC-AC37-E990BA7B3120
Q5044792,Carolina Cerqueira,Q65081943,Minister of Culture,2016-03-07,2017-09-26,Q5044792-3BCB9E4A-3F79-462F-90C6-EE0F086CF726
Q5044792,Carolina Cerqueira,Q65081943,Minister of Culture,2017-09-26,2020-01-17,Q5044792-768E0547-DFCF-4470-B32F-1DDBC9DE05D2
Q5044792,Carolina Cerqueira,Q111945575,Minister of Social Communications,2010-02-06,2012-09-26,Q5044792-BB3F0019-B645-46DF-A2AC-5F17B7583FCF
Q51120777,Pedro Luis da Fonseca,Q65081971,Minister of Economy and Planning,2017-09-26,2019-07-24,Q51120777-78DFE8CA-6BD9-4666-A90B-E87706330229
Q51883210,Candida Celeste da Silva,Q111945588,Minister of Women's Affairs,1999-01-29,2008-10-03,Q51883210-8176A751-42BE-409F-9A39-32AE53CEC16E
Q51883409,Maria Idalina de Oliveira Valente,Q111945578,Minister of Trade,2008-10-03,2010-02-06,Q51883409-7890DF11-EB85-4301-A673-FEC8D2632F35
Q5483447,Francisco Higino Carneiro,Q65081611,Minister of Public Works,2002-12-05,2010-02-06,Q5483447-1757B99A-5E48-4FB7-B101-F88AA8E31A9B
Q54913987,Paula Francisco Coelho,Q111945547,Minister of Environment,2017-09-26,2020-01-17,Q54913987-846182CF-25AE-42F3-8A34-3C2D03AF9A4C
Q5713736,Pedro Hendrick Vaal Neto,Q111945562,Minister of News Media,1997-04-09,2008-10-03,Q5713736-E10E1F31-A052-4D0C-802B-DC68A48257D7
Q58306,Alfonso de Sousa dos Anjos,Q54417158,Minister of Foreign Affairs,2008-10-01,2010-11-26,Q58306-E968FBDA-97F0-4355-8F87-9A24D53A78F7
Q59156960,Augusto da Silva Tomás,Q109984664,Minister of Transport,2008-10-03,2017-09-26,Q59156960-9524708B-B78B-4300-92BB-CA6E26333AE6
Q59156960,Augusto da Silva Tomás,Q109984664,Minister of Transport,2017-09-26,2020-01-17,Q59156960-D4A9DB0E-3B52-4959-A99F-2CD7B65C155B
Q60865113,Manuel Domingos Augusto,Q54417158,Minister of Foreign Affairs,2017-09-28,2020-01-01,Q60865113-3e336272-4ec8-8737-7bd2-cf004f2621b8
Q60918484,Archer Mangueira,Q6866123,Minister of Finance of Angola,2016-09-05,2019-10-08,Q60918484-888ea068-424d-e653-92b9-db513a9b5126
Q60929647,Antonio Domingos Pitra Costa Neto,Q65081689,"Minister of Public Administration, Labour and Social Security",1992-12-02,2017-09-26,Q60929647-73694759-E2FC-49F0-87BD-AA33F82FCDAD
Q6222208,Osvaldo Serra van Dunem,Q54479352,Minister of the Interior,2002-01-01,2006-01-01,Q6222208-9B5C15B6-0D4E-44C8-A9B3-0320547B2ADA
Q6444389,Kundi Paihama,Q54416499,Minister of Defence,2002-01-01,2010-01-01,Q6444389-32624E7B-EC1C-4F45-AE07-BDA614E6A046
Q7351774,Roberto Leal Monteiro,Q54479352,Minister of the Interior,2006-01-01,2010-01-01,Q7351774-B575172E-4591-4CB8-969C-F3ABFB60F9DD
Q75837385,Diamantino Pedro Azevedo,Q54483257,Minister of Mineral Resources and Petroleum,2017-09-01,,Q75837385-DA410E16-D6F3-42C0-84D2-5A4394070DF4
Q88650966,Silvia Paula Valentim Lutucuta,Q108282421,Minister of Health,2017-09-27,,Q88650966-EFF6ED7E-872E-4602-A7E6-A323EC5CA962
Q96441964,Vera Daves,Q6866123,Minister of Finance,2019-10-08,,Q96441964-f77b1c89-b87b-4a21-8f3c-fca0d457bd06
Q973742,Manuel Domingos Vicente,Q3382672,Vice President,2012-09-26,2017-09-26,Q973742-d0df5f91-b592-4aa2-85f8-4cfed62e49fe
