@@,item,itemlabel,startdate,enddate
+++,Q59102914,José Aníbal Lopes Rocha,1997,2002
+++,,Simão Mateus Paulo,2002,2004
+++,,Job Pedro Castelo Capapinha,2004,2008
+++,,Francisca do Espírito Santos,2008,2010
+++,,José Maria Ferraz dos Santos,2010,2011
+++,,Bento Joaquim Sebastião Francisco Bento,2012,2014
+++,,Graciano Francisco Domingos,2015,2016
+++,Q5483447,Francisco Higino Lopes Carneiro,2016,2017
+++,,Adriano Mendes de Carvalho,2017,2019
+++,,Sérgio Luther Rescova Joaquim,2019,2020
+++,,Joana Lina Ramos Baptista Cândido,2020,
